,hTeam,hGoals,hPenalties,hResult,aTeam,aGoals,aPenalties,aResult,mType,mDate,comp
815,Moldova,1,,L,Russia,2,,W,Group Stage,09.10.15,"Euros 2016, Qualifiers"
816,Montenegro,2,,L,Austria,3,,W,Group Stage,09.10.15,"Euros 2016, Qualifiers"
817,Austria,3,,W,Liechtenstein,0,,L,Group Stage,12.10.15,"Euros 2016, Qualifiers"
818,Russia,2,,W,Montenegro,0,,L,Group Stage,12.10.15,"Euros 2016, Qualifiers"
819,Sweden,2,,W,Moldova,0,,L,Group Stage,12.10.15,"Euros 2016, Qualifiers"
820,Azerbaijan,1,,L,Bulgaria,2,,W,Group Stage,09.09.14,"Euros 2016, Qualifiers"
821,Croatia,2,,W,Malta,0,,L,Group Stage,09.09.14,"Euros 2016, Qualifiers"
822,Norway,0,,L,Italy,2,,W,Group Stage,09.09.14,"Euros 2016, Qualifiers"
823,Bulgaria,0,,L,Croatia,1,,W,Group Stage,10.10.14,"Euros 2016, Qualifiers"
824,Italy,2,,W,Azerbaijan,1,,L,Group Stage,10.10.14,"Euros 2016, Qualifiers"
825,Malta,0,,L,Norway,3,,W,Group Stage,10.10.14,"Euros 2016, Qualifiers"
826,Croatia,6,,W,Azerbaijan,0,,L,Group Stage,13.10.14,"Euros 2016, Qualifiers"
827,Malta,0,,L,Italy,1,,W,Group Stage,13.10.14,"Euros 2016, Qualifiers"
828,Norway,2,,W,Bulgaria,1,,L,Group Stage,13.10.14,"Euros 2016, Qualifiers"
829,Azerbaijan,0,,L,Norway,1,,W,Group Stage,16.11.14,"Euros 2016, Qualifiers"
830,Bulgaria,1,,D,Malta,1,,D,Group Stage,16.11.14,"Euros 2016, Qualifiers"
831,Italy,1,,D,Croatia,1,,D,Group Stage,16.11.14,"Euros 2016, Qualifiers"
832,Azerbaijan,2,,W,Malta,0,,L,Group Stage,28.03.15,"Euros 2016, Qualifiers"
833,Croatia,5,,W,Norway,1,,L,Group Stage,28.03.15,"Euros 2016, Qualifiers"
834,Bulgaria,2,,D,Italy,2,,D,Group Stage,28.03.15,"Euros 2016, Qualifiers"
835,Croatia,1,,D,Italy,1,,D,Group Stage,12.06.15,"Euros 2016, Qualifiers"
836,Malta,0,,L,Bulgaria,1,,W,Group Stage,12.06.15,"Euros 2016, Qualifiers"
837,Norway,0,,D,Azerbaijan,0,,D,Group Stage,12.06.15,"Euros 2016, Qualifiers"
838,Azerbaijan,0,,D,Croatia,0,,D,Group Stage,03.09.15,"Euros 2016, Qualifiers"
839,Bulgaria,0,,L,Norway,1,,W,Group Stage,03.09.15,"Euros 2016, Qualifiers"
840,Italy,1,,W,Malta,0,,L,Group Stage,03.09.15,"Euros 2016, Qualifiers"
841,Malta,2,,D,Azerbaijan,2,,D,Group Stage,06.09.15,"Euros 2016, Qualifiers"
842,Norway,2,,W,Croatia,0,,L,Group Stage,06.09.15,"Euros 2016, Qualifiers"
843,Italy,1,,W,Bulgaria,0,,L,Group Stage,06.09.15,"Euros 2016, Qualifiers"
844,Azerbaijan,1,,L,Italy,3,,W,Group Stage,10.10.15,"Euros 2016, Qualifiers"
845,Norway,2,,W,Malta,0,,L,Group Stage,10.10.15,"Euros 2016, Qualifiers"
846,Croatia,3,,W,Bulgaria,0,,L,Group Stage,10.10.15,"Euros 2016, Qualifiers"
847,Bulgaria,2,,W,Azerbaijan,0,,L,Group Stage,13.10.15,"Euros 2016, Qualifiers"
848,Italy,2,,W,Norway,1,,L,Group Stage,13.10.15,"Euros 2016, Qualifiers"
849,Malta,0,,L,Croatia,1,,W,Group Stage,13.10.15,"Euros 2016, Qualifiers"
850,Denmark,2,,W,Armenia,1,,L,Group Stage,07.09.14,"Euros 2016, Qualifiers"
851,Portugal,0,,L,Albania,1,,W,Group Stage,07.09.14,"Euros 2016, Qualifiers"
852,Armenia,1,,D,Serbia,1,,D,Group Stage,11.10.14,"Euros 2016, Qualifiers"
853,Albania,1,,D,Denmark,1,,D,Group Stage,11.10.14,"Euros 2016, Qualifiers"
854,Denmark,0,,L,Portugal,1,,W,Group Stage,14.10.14,"Euros 2016, Qualifiers"
855,Portugal,1,,W,Armenia,0,,L,Group Stage,14.11.14,"Euros 2016, Qualifiers"
856,Serbia,1,,L,Denmark,3,,W,Group Stage,14.11.14,"Euros 2016, Qualifiers"
857,Albania,2,,W,Armenia,1,,L,Group Stage,29.03.15,"Euros 2016, Qualifiers"
858,Portugal,2,,W,Serbia,1,,L,Group Stage,29.03.15,"Euros 2016, Qualifiers"
859,Armenia,2,,L,Portugal,3,,W,Group Stage,13.06.15,"Euros 2016, Qualifiers"
860,Denmark,2,,W,Serbia,0,,L,Group Stage,13.06.15,"Euros 2016, Qualifiers"
861,Denmark,0,,D,Albania,0,,D,Group Stage,04.09.15,"Euros 2016, Qualifiers"
862,Serbia,2,,W,Armenia,0,,L,Group Stage,04.09.15,"Euros 2016, Qualifiers"
863,Armenia,0,,D,Denmark,0,,D,Group Stage,07.09.15,"Euros 2016, Qualifiers"
864,Albania,0,,L,Portugal,1,,W,Group Stage,07.09.15,"Euros 2016, Qualifiers"
865,Albania,0,,L,Serbia,2,,W,Group Stage,08.10.15,"Euros 2016, Qualifiers"
866,Portugal,1,,W,Denmark,0,,L,Group Stage,08.10.15,"Euros 2016, Qualifiers"
867,Armenia,0,,L,Albania,3,,W,Group Stage,11.10.15,"Euros 2016, Qualifiers"
868,Serbia,1,,L,Portugal,2,,W,Group Stage,11.10.15,"Euros 2016, Qualifiers"
869,Spain,4,,W,Italy,0,,L,Final,01.07.12,Euros 2012
870,Portugal,0,2,L,Spain,0,4,W,Semi-finals,27.06.12,Euros 2012
871,Germany,1,,L,Italy,2,,W,Semi-finals,28.06.12,Euros 2012
872,Czech,0,,L,Portugal,1,,W,Quater-finals,21.06.12,Euros 2012
873,Germany,4,,W,Greece,2,,L,Quater-finals,22.06.12,Euros 2012
874,Spain,2,,W,France,0,,L,Quater-finals,23.06.12,Euros 2012
875,England,0,2,L,Italy,0,4,W,Quater-finals,24.06.12,Euros 2012
876,Poland,1,,D,Greece,1,,D,Group Stage,08.06.12,Euros 2012
877,Russia,4,,W,Czech,1,,L,Group Stage,08.06.12,Euros 2012
878,Greece,1,,L,Czech,2,,W,Group Stage,12.06.12,Euros 2012
879,Poland,1,,D,Russia,1,,D,Group Stage,12.06.12,Euros 2012
880,Czech,1,,W,Poland,0,,L,Group Stage,16.06.12,Euros 2012
881,Greece,1,,W,Russia,0,,L,Group Stage,16.06.12,Euros 2012
882,Netherlands,0,,L,Denmark,1,,W,Group Stage,09.06.12,Euros 2012
883,Germany,1,,W,Portugal,0,,L,Group Stage,09.06.12,Euros 2012
884,Denmark,2,,L,Portugal,3,,W,Group Stage,13.06.12,Euros 2012
885,Netherlands,1,,L,Germany,2,,W,Group Stage,13.06.12,Euros 2012
886,Portugal,2,,W,Netherlands,1,,L,Group Stage,17.06.12,Euros 2012
887,Denmark,1,,L,Germany,2,,W,Group Stage,17.06.12,Euros 2012
888,Spain,1,,D,Italy,1,,D,Group Stage,10.06.12,Euros 2012
889,Ireland,1,,L,Croatia,3,,W,Group Stage,10.06.12,Euros 2012
890,Italy,1,,D,Croatia,1,,D,Group Stage,14.06.12,Euros 2012
891,Spain,4,,W,Ireland,0,,L,Group Stage,14.06.12,Euros 2012
892,Croatia,0,,L,Spain,1,,W,Group Stage,18.06.12,Euros 2012
893,Italy,2,,W,Ireland,0,,L,Group Stage,18.06.12,Euros 2012
894,France,1,,D,England,1,,D,Group Stage,11.06.12,Euros 2012
895,Ukraine,2,,W,Sweden,1,,L,Group Stage,11.06.12,Euros 2012
896,Ukraine,0,,L,France,2,,W,Group Stage,15.06.12,Euros 2012
897,Sweden,2,,L,England,3,,W,Group Stage,15.06.12,Euros 2012
898,England,1,,W,Ukraine,0,,L,Group Stage,19.06.12,Euros 2012
899,Sweden,2,,W,France,0,,L,Group Stage,19.06.12,Euros 2012
900,Bosnia,0,,D,Portugal,0,,D,Head to head round,11.11.11,"Euros 2012, Qualifiers"
901,Portugal,6,,W,Bosnia,2,,L,Head to head round,15.11.11,"Euros 2012, Qualifiers"
902,Türkiye,0,,L,Croatia,3,,W,Head to head round,11.11.11,"Euros 2012, Qualifiers"
903,Croatia,0,,D,Türkiye,0,,D,Head to head round,15.11.11,"Euros 2012, Qualifiers"
904,Czech,2,,W,Montenegro,0,,L,Head to head round,11.11.11,"Euros 2012, Qualifiers"
905,Montenegro,0,,L,Czech,1,,W,Head to head round,15.11.11,"Euros 2012, Qualifiers"
906,Estonia,0,,L,Ireland,4,,W,Head to head round,11.11.11,"Euros 2012, Qualifiers"
907,Ireland,1,,D,Estonia,1,,D,Head to head round,15.11.11,"Euros 2012, Qualifiers"
908,Kazakhstan,0,,L,Türkiye,3,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
909,Belgium,0,,L,Germany,1,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
910,Türkiye,3,,W,Belgium,2,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
911,Austria,2,,W,Kazakhstan,0,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
912,Germany,6,,W,Azerbaijan,1,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
913,Kazakhstan,0,,L,Belgium,2,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
914,Austria,3,,W,Azerbaijan,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
915,Germany,3,,W,Türkiye,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
916,Azerbaijan,1,,W,Türkiye,0,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
917,Kazakhstan,0,,L,Germany,3,,W,Group Stage,12.10.10,"Euros 2012, Qualifiers"
918,Belgium,4,,D,Austria,4,,D,Group Stage,12.10.10,"Euros 2012, Qualifiers"
919,Austria,0,,L,Belgium,2,,W,Group Stage,25.03.11,"Euros 2012, Qualifiers"
920,Germany,4,,W,Kazakhstan,0,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
921,Türkiye,2,,W,Austria,0,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
922,Belgium,4,,W,Azerbaijan,1,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
923,Kazakhstan,2,,W,Azerbaijan,1,,L,Group Stage,03.06.11,"Euros 2012, Qualifiers"
924,Austria,1,,L,Germany,2,,W,Group Stage,03.06.11,"Euros 2012, Qualifiers"
925,Belgium,1,,D,Türkiye,1,,D,Group Stage,03.06.11,"Euros 2012, Qualifiers"
926,Azerbaijan,1,,L,Germany,3,,W,Group Stage,07.06.11,"Euros 2012, Qualifiers"
927,Azerbaijan,1,,D,Belgium,1,,D,Group Stage,02.09.11,"Euros 2012, Qualifiers"
928,Türkiye,2,,W,Kazakhstan,1,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
929,Germany,6,,W,Austria,2,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
930,Azerbaijan,3,,W,Kazakhstan,2,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
931,Austria,0,,D,Türkiye,0,,D,Group Stage,06.09.11,"Euros 2012, Qualifiers"
932,Azerbaijan,1,,L,Austria,4,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
933,Türkiye,1,,L,Germany,3,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
934,Belgium,4,,W,Kazakhstan,1,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
935,Kazakhstan,0,,D,Austria,0,,D,Group Stage,11.10.11,"Euros 2012, Qualifiers"
936,Germany,3,,W,Belgium,1,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
937,Türkiye,1,,W,Azerbaijan,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
938,Armenia,0,,L,Ireland,1,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
939,Andorra,0,,L,Russia,2,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
940,Slovakia,1,,W,N.Macedonia,0,,L,Group Stage,03.09.10,"Euros 2012, Qualifiers"
941,Russia,0,,L,Slovakia,1,,W,Group Stage,07.09.10,"Euros 2012, Qualifiers"
942,N.Macedonia,2,,D,Armenia,2,,D,Group Stage,07.09.10,"Euros 2012, Qualifiers"
943,Ireland,3,,W,Andorra,1,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
944,Armenia,3,,W,Slovakia,1,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
945,Andorra,0,,L,N.Macedonia,2,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
946,Ireland,2,,L,Russia,3,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
947,Armenia,4,,W,Andorra,0,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
948,N.Macedonia,0,,L,Russia,1,,W,Group Stage,12.10.10,"Euros 2012, Qualifiers"
949,Slovakia,1,,D,Ireland,1,,D,Group Stage,12.10.10,"Euros 2012, Qualifiers"
950,Armenia,0,,D,Russia,0,,D,Group Stage,26.03.11,"Euros 2012, Qualifiers"
951,Andorra,0,,L,Slovakia,1,,W,Group Stage,26.03.11,"Euros 2012, Qualifiers"
952,Ireland,2,,W,N.Macedonia,1,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
953,Russia,3,,W,Armenia,1,,L,Group Stage,04.06.11,"Euros 2012, Qualifiers"
954,Slovakia,1,,W,Andorra,0,,L,Group Stage,04.06.11,"Euros 2012, Qualifiers"
955,N.Macedonia,0,,L,Ireland,2,,W,Group Stage,04.06.11,"Euros 2012, Qualifiers"
956,Russia,1,,W,N.Macedonia,0,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
957,Andorra,0,,L,Armenia,3,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
958,Ireland,0,,D,Slovakia,0,,D,Group Stage,02.09.11,"Euros 2012, Qualifiers"
959,Russia,0,,D,Ireland,0,,D,Group Stage,06.09.11,"Euros 2012, Qualifiers"
960,N.Macedonia,1,,W,Andorra,0,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
961,Slovakia,0,,L,Armenia,4,,W,Group Stage,06.09.11,"Euros 2012, Qualifiers"
962,Armenia,4,,W,N.Macedonia,1,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
963,Slovakia,0,,L,Russia,1,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
964,Andorra,0,,L,Ireland,2,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
965,Russia,6,,W,Andorra,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
966,N.Macedonia,1,,D,Slovakia,1,,D,Group Stage,11.10.11,"Euros 2012, Qualifiers"
967,Ireland,2,,W,Armenia,1,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
968,Estonia,2,,W,Faroe Islands,1,,L,Group Stage,11.08.10,"Euros 2012, Qualifiers"
969,Faroe Islands,0,,L,Serbia,3,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
970,Estonia,1,,L,Italy,2,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
971,Slovenia,0,,L,North. Ireland,1,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
972,Serbia,1,,D,Slovenia,1,,D,Group Stage,07.09.10,"Euros 2012, Qualifiers"
973,Italy,5,,W,Faroe Islands,0,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
974,Serbia,1,,L,Estonia,3,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
975,North. Ireland,0,,D,Italy,0,,D,Group Stage,08.10.10,"Euros 2012, Qualifiers"
976,Slovenia,5,,W,Faroe Islands,1,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
977,Faroe Islands,1,,D,North. Ireland,1,,D,Group Stage,12.10.10,"Euros 2012, Qualifiers"
978,Estonia,0,,L,Slovenia,1,,W,Group Stage,12.10.10,"Euros 2012, Qualifiers"
979,Italy,3,,W,Serbia,0,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
980,Serbia,2,,W,North. Ireland,1,,L,Group Stage,25.03.11,"Euros 2012, Qualifiers"
981,Slovenia,0,,L,Italy,1,,W,Group Stage,25.03.11,"Euros 2012, Qualifiers"
982,Estonia,1,,D,Serbia,1,,D,Group Stage,29.03.11,"Euros 2012, Qualifiers"
983,North. Ireland,0,,D,Slovenia,0,,D,Group Stage,29.03.11,"Euros 2012, Qualifiers"
984,Faroe Islands,0,,L,Slovenia,2,,W,Group Stage,03.06.11,"Euros 2012, Qualifiers"
985,Italy,3,,W,Estonia,0,,L,Group Stage,03.06.11,"Euros 2012, Qualifiers"
986,Faroe Islands,2,,W,Estonia,0,,L,Group Stage,07.06.11,"Euros 2012, Qualifiers"
987,North. Ireland,4,,W,Faroe Islands,0,,L,Group Stage,10.08.11,"Euros 2012, Qualifiers"
988,North. Ireland,0,,L,Serbia,1,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
989,Slovenia,1,,L,Estonia,2,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
990,Faroe Islands,0,,L,Italy,1,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
991,Serbia,3,,W,Faroe Islands,1,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
992,Estonia,4,,W,North. Ireland,1,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
993,Italy,1,,W,Slovenia,0,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
994,Serbia,1,,D,Italy,1,,D,Group Stage,07.10.11,"Euros 2012, Qualifiers"
995,North. Ireland,1,,L,Estonia,2,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
996,Italy,3,,W,North. Ireland,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
997,Slovenia,1,,W,Serbia,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
998,Romania,1,,D,Albania,1,,D,Group Stage,03.09.10,"Euros 2012, Qualifiers"
999,Luxembourg,0,,L,Bosnia,3,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1000,France,0,,L,Belarus,1,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1001,Belarus,0,,D,Romania,0,,D,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1002,Albania,1,,W,Luxembourg,0,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1003,Bosnia,0,,L,France,2,,W,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1004,Luxembourg,0,,D,Belarus,0,,D,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1005,Albania,1,,D,Bosnia,1,,D,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1006,France,2,,W,Romania,0,,L,Group Stage,09.10.10,"Euros 2012, Qualifiers"
1007,Belarus,2,,W,Albania,0,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1008,France,2,,W,Luxembourg,0,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1009,Luxembourg,0,,L,France,2,,W,Group Stage,25.03.11,"Euros 2012, Qualifiers"
1010,Bosnia,2,,W,Romania,1,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
1011,Albania,1,,W,Belarus,0,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
1012,Romania,3,,W,Luxembourg,1,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
1013,Romania,3,,W,Bosnia,0,,L,Group Stage,03.06.11,"Euros 2012, Qualifiers"
1014,Belarus,1,,D,France,1,,D,Group Stage,03.06.11,"Euros 2012, Qualifiers"
1015,Belarus,2,,W,Luxembourg,0,,L,Group Stage,07.06.11,"Euros 2012, Qualifiers"
1016,Bosnia,2,,W,Albania,0,,L,Group Stage,07.06.11,"Euros 2012, Qualifiers"
1017,Belarus,0,,L,Bosnia,2,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1018,Luxembourg,0,,L,Romania,2,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1019,Albania,1,,L,France,2,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1020,Bosnia,1,,W,Belarus,0,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1021,Luxembourg,2,,W,Albania,1,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1022,Romania,0,,D,France,0,,D,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1023,Bosnia,5,,W,Luxembourg,0,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1024,Romania,2,,D,Belarus,2,,D,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1025,France,3,,W,Albania,0,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1026,Albania,1,,D,Romania,1,,D,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1027,France,1,,D,Bosnia,1,,D,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1028,Moldova,2,,W,Finland,0,,L,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1029,Sweden,2,,W,Hungary,0,,L,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1030,San Marino,0,,L,Netherlands,5,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1031,Sweden,6,,W,San Marino,0,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1032,Netherlands,2,,W,Finland,1,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1033,Hungary,2,,W,Moldova,1,,L,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1034,Hungary,8,,W,San Marino,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1035,Moldova,0,,L,Netherlands,1,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1036,Finland,1,,L,Hungary,2,,W,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1037,Netherlands,4,,W,Sweden,1,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1038,San Marino,0,,L,Moldova,2,,W,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1039,Finland,8,,W,San Marino,0,,L,Group Stage,17.11.10,"Euros 2012, Qualifiers"
1040,Hungary,0,,L,Netherlands,4,,W,Group Stage,25.03.11,"Euros 2012, Qualifiers"
1041,Sweden,2,,W,Moldova,1,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
1042,Netherlands,5,,W,Hungary,3,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
1043,Moldova,1,,L,Sweden,4,,W,Group Stage,03.06.11,"Euros 2012, Qualifiers"
1044,San Marino,0,,L,Finland,1,,W,Group Stage,03.06.11,"Euros 2012, Qualifiers"
1045,Sweden,5,,W,Finland,0,,L,Group Stage,07.06.11,"Euros 2012, Qualifiers"
1046,San Marino,0,,L,Hungary,3,,W,Group Stage,07.06.11,"Euros 2012, Qualifiers"
1047,Finland,4,,W,Moldova,1,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1048,Hungary,2,,W,Sweden,1,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1049,Netherlands,11,,W,San Marino,0,,L,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1050,Finland,0,,L,Netherlands,2,,W,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1051,Moldova,0,,L,Hungary,2,,W,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1052,San Marino,0,,L,Sweden,5,,W,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1053,Finland,1,,L,Sweden,2,,W,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1054,Netherlands,1,,W,Moldova,0,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1055,Sweden,3,,W,Netherlands,2,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1056,Hungary,0,,D,Finland,0,,D,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1057,Moldova,4,,W,San Marino,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1058,Israel,3,,W,Malta,1,,L,Group Stage,02.09.10,"Euros 2012, Qualifiers"
1059,Latvia,0,,L,Croatia,3,,W,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1060,Greece,1,,D,Georgia,1,,D,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1061,Georgia,0,,D,Israel,0,,D,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1062,Malta,0,,L,Latvia,2,,W,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1063,Croatia,0,,D,Greece,0,,D,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1064,Georgia,1,,W,Malta,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1065,Greece,1,,W,Latvia,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1066,Israel,1,,L,Croatia,2,,W,Group Stage,09.10.10,"Euros 2012, Qualifiers"
1067,Latvia,1,,D,Georgia,1,,D,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1068,Greece,2,,W,Israel,1,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1069,Croatia,3,,W,Malta,0,,L,Group Stage,17.11.10,"Euros 2012, Qualifiers"
1070,Georgia,1,,W,Croatia,0,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
1071,Israel,2,,W,Latvia,1,,L,Group Stage,26.03.11,"Euros 2012, Qualifiers"
1072,Malta,0,,L,Greece,1,,W,Group Stage,26.03.11,"Euros 2012, Qualifiers"
1073,Israel,1,,W,Georgia,0,,L,Group Stage,29.03.11,"Euros 2012, Qualifiers"
1074,Croatia,2,,W,Georgia,1,,L,Group Stage,03.06.11,"Euros 2012, Qualifiers"
1075,Latvia,1,,L,Israel,2,,W,Group Stage,04.06.11,"Euros 2012, Qualifiers"
1076,Greece,3,,W,Malta,1,,L,Group Stage,04.06.11,"Euros 2012, Qualifiers"
1077,Israel,0,,L,Greece,1,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1078,Georgia,0,,L,Latvia,1,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1079,Malta,1,,L,Croatia,3,,W,Group Stage,02.09.11,"Euros 2012, Qualifiers"
1080,Croatia,3,,W,Israel,1,,L,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1081,Latvia,1,,D,Greece,1,,D,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1082,Malta,1,,D,Georgia,1,,D,Group Stage,06.09.11,"Euros 2012, Qualifiers"
1083,Latvia,2,,W,Malta,0,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1084,Greece,2,,W,Croatia,0,,L,Group Stage,07.10.11,"Euros 2012, Qualifiers"
1085,Croatia,2,,W,Latvia,0,,L,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1086,Georgia,1,,L,Greece,2,,W,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1087,Malta,0,,L,Israel,3,,W,Group Stage,11.10.11,"Euros 2012, Qualifiers"
1088,Montenegro,1,,W,Wales,0,,L,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1089,England,4,,W,Bulgaria,0,,L,Group Stage,03.09.10,"Euros 2012, Qualifiers"
1090,Bulgaria,0,,L,Montenegro,1,,W,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1091,Switzerland,1,,L,England,3,,W,Group Stage,07.09.10,"Euros 2012, Qualifiers"
1092,Wales,0,,L,Bulgaria,1,,W,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1093,Montenegro,1,,W,Switzerland,0,,L,Group Stage,08.10.10,"Euros 2012, Qualifiers"
1094,Switzerland,4,,W,Wales,1,,L,Group Stage,12.10.10,"Euros 2012, Qualifiers"
1095,England,0,,D,Montenegro,0,,D,Group Stage,12.10.10,"Euros 2012, Qualifiers"
